epoch,train_loss,val_loss,val_mchirp_err_pct,lr
0,167.59161366453958,38.79965909576416,12.614500228881836,0.0005
1,29.676826004588275,33.241646606445315,12.307111602783204,0.0005
2,17.11576321584369,23.081653442382812,10.479595657348632,0.0005
3,12.31900973713726,11.638142658233642,6.647610355377197,0.0005
4,8.96644470451075,10.374519950866699,6.724519226074219,0.0005
5,7.665500557750737,9.8581831741333,6.477273590087891,0.0005
6,6.311627554237296,7.1148773956298825,4.958379177093506,0.0005
7,5.632121961051171,6.498887832641602,4.996777622222901,0.0005
8,4.74660304598852,6.679944599151612,5.023519088745117,0.0005
9,4.488192072702111,5.204444509506225,4.63255419921875,0.0005
10,4.1163784867032955,6.4411178302764895,4.315453058242798,0.0005
11,3.9332519179090446,4.640248342514038,3.6850735988616945,0.0005
12,3.6481539153177804,5.124788360595703,3.866722097396851,0.0005
13,3.4969105808013077,4.692956195831298,4.139304401397705,0.0005
14,3.26833663949179,4.72756459236145,3.6483958358764648,0.0005
15,2.9601285315434867,4.324635852813721,3.6520223922729493,0.0005
16,2.927834756877444,4.3531832504272465,3.6839200439453124,0.0005
17,2.8194913432138775,4.532810040473938,3.4525987281799315,0.0005
18,2.6018248074645296,5.066386571884156,3.3387938556671144,0.0005
19,2.601147214753912,4.449977428436279,3.8140862464904783,0.0005
