epoch,train_loss,val_loss,val_mchirp_err_pct,lr,w_physics
0,58.58017194817919,38.495706855773925,11.400729164123534,0.001,0.0
1,20.005052678081967,13.958129600524902,7.459214157104492,0.001,0.0
2,12.736695252427268,9.232108154296874,6.658043590545654,0.001,0.0
3,9.948958616737926,12.3607582321167,7.092823471069336,0.001,0.0
4,7.762621786616264,17.910010665893555,7.165830276489258,0.001,0.0
5,7.1124504246842974,6.773075160980224,5.411088241577149,0.001,0.0
6,6.086266110796447,8.204769613265992,5.486511817932129,0.001,0.03
7,5.534564398844307,5.7717937469482425,5.122432384490967,0.001,0.06
8,4.954804343914767,5.254981649398804,4.493550121307373,0.001,0.09
9,4.2393052430327876,5.2186716995239255,5.085786872863769,0.001,0.12
10,3.76721470727833,4.316510709762573,3.9844101982116698,0.001,0.15
11,3.6028611135045323,5.338738634109497,4.653261745452881,0.001,0.18
12,3.0207905572488767,4.687177673339844,4.022578762054444,0.001,0.21000000000000002
13,2.852033865561179,4.531373759269714,3.8762387580871582,0.001,0.24
14,2.7303096980129906,5.878510725021362,4.197038711547852,0.001,0.26999999999999996
15,2.513906998918691,4.674981546401978,3.8739809398651124,0.001,0.3
16,2.2675338906979343,4.024227651596069,3.482177209854126,0.001,0.3
17,2.1507967338649503,3.2626191539764404,3.3638885746002196,0.001,0.3
18,2.0632180675454097,4.231099027633667,3.960278060913086,0.001,0.3
19,2.1555990029912477,3.3119163036346437,3.514943109512329,0.001,0.3
